geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,28
Arkansas,0
California,82
Colorado,73
Connecticut,0
Delaware,0
District of Columbia,0
Florida,32
Georgia,34
Hawaii,0
Idaho,0
Illinois,31
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,64
Michigan,27
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,31
New Mexico,0
New York,49
North Carolina,37
North Dakota,0
Ohio,30
Oklahoma,0
Oregon,49
Pennsylvania,32
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,37
Utah,93
Vermont,0
Virginia,43
Washington,100
West Virginia,0
Wisconsin,37
Wyoming,0
