geoName,GitHub Copilot
Alabama,26
Alaska,0
Arizona,36
Arkansas,0
California,77
Colorado,54
Connecticut,50
Delaware,0
District of Columbia,0
Florida,33
Georgia,51
Hawaii,0
Idaho,0
Illinois,56
Indiana,31
Iowa,70
Kansas,42
Kentucky,0
Louisiana,0
Maine,0
Maryland,43
Massachusetts,79
Michigan,39
Minnesota,49
Mississippi,76
Missouri,37
Montana,0
Nebraska,0
Nevada,47
New Hampshire,0
New Jersey,39
New Mexico,0
New York,56
North Carolina,43
North Dakota,0
Ohio,35
Oklahoma,0
Oregon,58
Pennsylvania,48
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,30
Texas,47
Utah,56
Vermont,0
Virginia,79
Washington,100
West Virginia,0
Wisconsin,33
Wyoming,0
