geoName,Perplexity AI
Alabama,10
Alaska,0
Arizona,36
Arkansas,30
California,50
Colorado,30
Connecticut,43
Delaware,0
District of Columbia,100
Florida,29
Georgia,46
Hawaii,29
Idaho,0
Illinois,35
Indiana,21
Iowa,18
Kansas,19
Kentucky,17
Louisiana,29
Maine,31
Maryland,37
Massachusetts,50
Michigan,24
Minnesota,19
Mississippi,0
Missouri,26
Montana,0
Nebraska,25
Nevada,35
New Hampshire,0
New Jersey,40
New Mexico,0
New York,48
North Carolina,33
North Dakota,0
Ohio,24
Oklahoma,0
Oregon,33
Pennsylvania,29
Rhode Island,0
South Carolina,19
South Dakota,0
Tennessee,25
Texas,33
Utah,42
Vermont,0
Virginia,34
Washington,45
West Virginia,0
Wisconsin,18
Wyoming,0
