geoName,Anthropic
Alabama,8
Alaska,0
Arizona,24
Arkansas,12
California,66
Colorado,35
Connecticut,18
Delaware,0
District of Columbia,100
Florida,17
Georgia,20
Hawaii,24
Idaho,23
Illinois,25
Indiana,13
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,32
Massachusetts,39
Michigan,20
Minnesota,18
Mississippi,14
Missouri,12
Montana,0
Nebraska,15
Nevada,22
New Hampshire,23
New Jersey,29
New Mexico,22
New York,45
North Carolina,19
North Dakota,0
Ohio,11
Oklahoma,12
Oregon,32
Pennsylvania,18
Rhode Island,32
South Carolina,9
South Dakota,0
Tennessee,16
Texas,22
Utah,32
Vermont,0
Virginia,30
Washington,71
West Virginia,0
Wisconsin,12
Wyoming,0
