geoName,Microsoft Copilot
Alabama,44
Alaska,0
Arizona,46
Arkansas,24
California,51
Colorado,58
Connecticut,54
Delaware,63
District of Columbia,100
Florida,54
Georgia,69
Hawaii,49
Idaho,45
Illinois,66
Indiana,49
Iowa,70
Kansas,35
Kentucky,43
Louisiana,43
Maine,38
Maryland,65
Massachusetts,68
Michigan,47
Minnesota,74
Mississippi,23
Missouri,54
Montana,0
Nebraska,62
Nevada,32
New Hampshire,52
New Jersey,68
New Mexico,30
New York,60
North Carolina,68
North Dakota,0
Ohio,52
Oklahoma,50
Oregon,56
Pennsylvania,61
Rhode Island,0
South Carolina,49
South Dakota,0
Tennessee,50
Texas,65
Utah,76
Vermont,0
Virginia,75
Washington,74
West Virginia,0
Wisconsin,77
Wyoming,0
