geoName,ChatGPT
Alabama,61
Alaska,55
Arizona,84
Arkansas,72
California,97
Colorado,69
Connecticut,80
Delaware,69
District of Columbia,100
Florida,86
Georgia,93
Hawaii,60
Idaho,57
Illinois,71
Indiana,66
Iowa,55
Kansas,56
Kentucky,53
Louisiana,60
Maine,52
Maryland,95
Massachusetts,84
Michigan,69
Minnesota,68
Mississippi,63
Missouri,59
Montana,46
Nebraska,50
Nevada,67
New Hampshire,53
New Jersey,94
New Mexico,59
New York,81
North Carolina,79
North Dakota,61
Ohio,59
Oklahoma,64
Oregon,71
Pennsylvania,66
Rhode Island,68
South Carolina,54
South Dakota,56
Tennessee,56
Texas,94
Utah,77
Vermont,54
Virginia,86
Washington,81
West Virginia,42
Wisconsin,58
Wyoming,47
