geoName,Grok AI
Alabama,0
Alaska,0
Arizona,86
Arkansas,0
California,100
Colorado,64
Connecticut,0
Delaware,0
District of Columbia,0
Florida,92
Georgia,86
Hawaii,0
Idaho,0
Illinois,60
Indiana,49
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,59
Michigan,71
Minnesota,87
Mississippi,0
Missouri,57
Montana,0
Nebraska,0
Nevada,82
New Hampshire,0
New Jersey,78
New Mexico,0
New York,54
North Carolina,77
North Dakota,0
Ohio,61
Oklahoma,77
Oregon,67
Pennsylvania,70
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,64
Texas,67
Utah,86
Vermont,0
Virginia,40
Washington,73
West Virginia,0
Wisconsin,60
Wyoming,0
