geoName,Anthropic
Alabama,9
Alaska,0
Arizona,18
Arkansas,9
California,69
Colorado,32
Connecticut,25
Delaware,0
District of Columbia,100
Florida,18
Georgia,22
Hawaii,24
Idaho,13
Illinois,23
Indiana,12
Iowa,0
Kansas,15
Kentucky,8
Louisiana,10
Maine,16
Maryland,25
Massachusetts,44
Michigan,18
Minnesota,19
Mississippi,0
Missouri,12
Montana,0
Nebraska,12
Nevada,23
New Hampshire,0
New Jersey,32
New Mexico,14
New York,48
North Carolina,15
North Dakota,0
Ohio,13
Oklahoma,12
Oregon,24
Pennsylvania,19
Rhode Island,27
South Carolina,11
South Dakota,0
Tennessee,16
Texas,21
Utah,37
Vermont,0
Virginia,35
Washington,71
West Virginia,0
Wisconsin,11
Wyoming,0
