geoName,ChatGPT
Alabama,59
Alaska,52
Arizona,76
Arkansas,66
California,97
Colorado,66
Connecticut,82
Delaware,76
District of Columbia,87
Florida,81
Georgia,96
Hawaii,64
Idaho,69
Illinois,71
Indiana,60
Iowa,55
Kansas,60
Kentucky,56
Louisiana,60
Maine,49
Maryland,84
Massachusetts,87
Michigan,67
Minnesota,66
Mississippi,61
Missouri,57
Montana,47
Nebraska,62
Nevada,71
New Hampshire,58
New Jersey,100
New Mexico,63
New York,82
North Carolina,81
North Dakota,61
Ohio,58
Oklahoma,62
Oregon,57
Pennsylvania,72
Rhode Island,66
South Carolina,62
South Dakota,53
Tennessee,60
Texas,95
Utah,79
Vermont,52
Virginia,78
Washington,83
West Virginia,41
Wisconsin,56
Wyoming,53
