geoName,GitHub Copilot
Alabama,34
Alaska,0
Arizona,45
Arkansas,54
California,67
Colorado,59
Connecticut,37
Delaware,0
District of Columbia,75
Florida,32
Georgia,39
Hawaii,0
Idaho,36
Illinois,56
Indiana,28
Iowa,36
Kansas,53
Kentucky,0
Louisiana,23
Maine,47
Maryland,43
Massachusetts,59
Michigan,35
Minnesota,54
Mississippi,0
Missouri,33
Montana,0
Nebraska,34
Nevada,31
New Hampshire,0
New Jersey,48
New Mexico,0
New York,51
North Carolina,48
North Dakota,0
Ohio,31
Oklahoma,26
Oregon,67
Pennsylvania,39
Rhode Island,0
South Carolina,30
South Dakota,0
Tennessee,20
Texas,55
Utah,80
Vermont,100
Virginia,61
Washington,100
West Virginia,0
Wisconsin,33
Wyoming,0
