geoName,Grok AI
Alabama,46
Alaska,0
Arizona,66
Arkansas,35
California,66
Colorado,63
Connecticut,51
Delaware,56
District of Columbia,76
Florida,65
Georgia,57
Hawaii,36
Idaho,100
Illinois,57
Indiana,45
Iowa,43
Kansas,50
Kentucky,42
Louisiana,47
Maine,0
Maryland,55
Massachusetts,56
Michigan,50
Minnesota,53
Mississippi,39
Missouri,43
Montana,0
Nebraska,72
Nevada,55
New Hampshire,57
New Jersey,61
New Mexico,65
New York,54
North Carolina,56
North Dakota,0
Ohio,55
Oklahoma,41
Oregon,51
Pennsylvania,53
Rhode Island,0
South Carolina,38
South Dakota,0
Tennessee,57
Texas,63
Utah,94
Vermont,0
Virginia,58
Washington,68
West Virginia,0
Wisconsin,49
Wyoming,0
