geoName,Perplexity AI
Alabama,49
Alaska,0
Arizona,60
Arkansas,48
California,91
Colorado,69
Connecticut,79
Delaware,66
District of Columbia,100
Florida,65
Georgia,74
Hawaii,51
Idaho,45
Illinois,67
Indiana,51
Iowa,32
Kansas,60
Kentucky,45
Louisiana,53
Maine,35
Maryland,73
Massachusetts,82
Michigan,51
Minnesota,50
Mississippi,52
Missouri,56
Montana,50
Nebraska,51
Nevada,55
New Hampshire,41
New Jersey,81
New Mexico,36
New York,85
North Carolina,64
North Dakota,0
Ohio,55
Oklahoma,38
Oregon,64
Pennsylvania,55
Rhode Island,64
South Carolina,67
South Dakota,0
Tennessee,58
Texas,64
Utah,45
Vermont,0
Virginia,62
Washington,70
West Virginia,0
Wisconsin,47
Wyoming,0
