geoName,GPT-4
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,50
Colorado,0
Connecticut,100
Delaware,0
District of Columbia,0
Florida,41
Georgia,38
Hawaii,0
Idaho,0
Illinois,0
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,0
Michigan,32
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,39
New Mexico,0
New York,50
North Carolina,35
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,23
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,29
Utah,0
Vermont,0
Virginia,29
Washington,35
West Virginia,0
Wisconsin,68
Wyoming,0
