geoName,Anthropic
Alabama,7
Alaska,0
Arizona,20
Arkansas,9
California,69
Colorado,43
Connecticut,38
Delaware,0
District of Columbia,100
Florida,20
Georgia,18
Hawaii,23
Idaho,15
Illinois,28
Indiana,11
Iowa,13
Kansas,15
Kentucky,12
Louisiana,12
Maine,16
Maryland,29
Massachusetts,48
Michigan,16
Minnesota,21
Mississippi,0
Missouri,18
Montana,0
Nebraska,14
Nevada,21
New Hampshire,31
New Jersey,38
New Mexico,19
New York,51
North Carolina,22
North Dakota,0
Ohio,15
Oklahoma,9
Oregon,30
Pennsylvania,20
Rhode Island,0
South Carolina,15
South Dakota,0
Tennessee,14
Texas,21
Utah,25
Vermont,43
Virginia,33
Washington,80
West Virginia,0
Wisconsin,14
Wyoming,0
