geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,56
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,27
Georgia,26
Hawaii,0
Idaho,0
Illinois,39
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,60
Massachusetts,98
Michigan,32
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,55
New Mexico,0
New York,31
North Carolina,30
North Dakota,0
Ohio,28
Oklahoma,0
Oregon,71
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,35
Utah,0
Vermont,0
Virginia,29
Washington,100
West Virginia,0
Wisconsin,0
Wyoming,0
