geoName,Meta AI
Alabama,68
Alaska,0
Arizona,59
Arkansas,62
California,72
Colorado,44
Connecticut,63
Delaware,0
District of Columbia,30
Florida,59
Georgia,53
Hawaii,45
Idaho,44
Illinois,43
Indiana,46
Iowa,34
Kansas,53
Kentucky,37
Louisiana,45
Maine,37
Maryland,48
Massachusetts,49
Michigan,42
Minnesota,37
Mississippi,36
Missouri,50
Montana,0
Nebraska,50
Nevada,45
New Hampshire,56
New Jersey,65
New Mexico,54
New York,80
North Carolina,61
North Dakota,0
Ohio,54
Oklahoma,35
Oregon,100
Pennsylvania,54
Rhode Island,52
South Carolina,47
South Dakota,0
Tennessee,45
Texas,69
Utah,61
Vermont,56
Virginia,97
Washington,73
West Virginia,0
Wisconsin,32
Wyoming,0
