geoName,ChatGPT
Alabama,80
Alaska,55
Arizona,86
Arkansas,74
California,97
Colorado,73
Connecticut,85
Delaware,76
District of Columbia,86
Florida,88
Georgia,99
Hawaii,64
Idaho,74
Illinois,76
Indiana,73
Iowa,67
Kansas,69
Kentucky,65
Louisiana,68
Maine,55
Maryland,86
Massachusetts,88
Michigan,74
Minnesota,78
Mississippi,77
Missouri,68
Montana,51
Nebraska,71
Nevada,79
New Hampshire,67
New Jersey,100
New Mexico,71
New York,84
North Carolina,90
North Dakota,62
Ohio,71
Oklahoma,74
Oregon,63
Pennsylvania,73
Rhode Island,75
South Carolina,69
South Dakota,61
Tennessee,69
Texas,92
Utah,81
Vermont,57
Virginia,78
Washington,83
West Virginia,56
Wisconsin,66
Wyoming,58
