geoName,GitHub Copilot
Alabama,22
Alaska,0
Arizona,44
Arkansas,55
California,68
Colorado,62
Connecticut,52
Delaware,0
District of Columbia,100
Florida,34
Georgia,48
Hawaii,0
Idaho,43
Illinois,50
Indiana,36
Iowa,56
Kansas,35
Kentucky,22
Louisiana,19
Maine,0
Maryland,45
Massachusetts,68
Michigan,36
Minnesota,40
Mississippi,0
Missouri,41
Montana,0
Nebraska,0
Nevada,32
New Hampshire,50
New Jersey,56
New Mexico,0
New York,51
North Carolina,46
North Dakota,0
Ohio,34
Oklahoma,0
Oregon,37
Pennsylvania,36
Rhode Island,69
South Carolina,27
South Dakota,0
Tennessee,28
Texas,48
Utah,62
Vermont,0
Virginia,66
Washington,94
West Virginia,0
Wisconsin,51
Wyoming,0
