geoName,Anthropic
Alabama,9
Alaska,0
Arizona,21
Arkansas,16
California,73
Colorado,34
Connecticut,28
Delaware,0
District of Columbia,100
Florida,16
Georgia,21
Hawaii,18
Idaho,23
Illinois,25
Indiana,11
Iowa,16
Kansas,11
Kentucky,9
Louisiana,9
Maine,21
Maryland,38
Massachusetts,51
Michigan,14
Minnesota,20
Mississippi,0
Missouri,12
Montana,0
Nebraska,18
Nevada,24
New Hampshire,20
New Jersey,34
New Mexico,0
New York,57
North Carolina,22
North Dakota,0
Ohio,14
Oklahoma,10
Oregon,30
Pennsylvania,21
Rhode Island,32
South Carolina,9
South Dakota,0
Tennessee,12
Texas,23
Utah,30
Vermont,44
Virginia,36
Washington,84
West Virginia,0
Wisconsin,16
Wyoming,0
