geoName,GPT-5
Alabama,0
Alaska,0
Arizona,17
Arkansas,0
California,52
Colorado,46
Connecticut,0
Delaware,0
District of Columbia,100
Florida,28
Georgia,33
Hawaii,0
Idaho,0
Illinois,35
Indiana,0
Iowa,0
Kansas,28
Kentucky,0
Louisiana,27
Maine,0
Maryland,56
Massachusetts,91
Michigan,23
Minnesota,29
Mississippi,0
Missouri,28
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,38
New Mexico,0
New York,37
North Carolina,14
North Dakota,0
Ohio,20
Oklahoma,23
Oregon,28
Pennsylvania,29
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,17
Texas,29
Utah,35
Vermont,0
Virginia,29
Washington,77
West Virginia,0
Wisconsin,26
Wyoming,0
