geoName,ChatGPT
Alabama,74
Alaska,49
Arizona,74
Arkansas,78
California,99
Colorado,70
Connecticut,83
Delaware,82
District of Columbia,91
Florida,84
Georgia,91
Hawaii,66
Idaho,75
Illinois,78
Indiana,67
Iowa,67
Kansas,75
Kentucky,58
Louisiana,68
Maine,57
Maryland,81
Massachusetts,86
Michigan,73
Minnesota,72
Mississippi,76
Missouri,64
Montana,48
Nebraska,70
Nevada,74
New Hampshire,61
New Jersey,100
New Mexico,71
New York,82
North Carolina,86
North Dakota,63
Ohio,68
Oklahoma,70
Oregon,71
Pennsylvania,73
Rhode Island,77
South Carolina,68
South Dakota,61
Tennessee,62
Texas,93
Utah,74
Vermont,49
Virginia,86
Washington,77
West Virginia,53
Wisconsin,61
Wyoming,57
