geoName,GitHub Copilot
Alabama,21
Alaska,0
Arizona,30
Arkansas,38
California,58
Colorado,64
Connecticut,36
Delaware,0
District of Columbia,70
Florida,29
Georgia,50
Hawaii,0
Idaho,30
Illinois,55
Indiana,28
Iowa,37
Kansas,30
Kentucky,18
Louisiana,11
Maine,0
Maryland,51
Massachusetts,88
Michigan,33
Minnesota,45
Mississippi,0
Missouri,30
Montana,0
Nebraska,36
Nevada,29
New Hampshire,62
New Jersey,44
New Mexico,0
New York,50
North Carolina,41
North Dakota,0
Ohio,34
Oklahoma,23
Oregon,45
Pennsylvania,34
Rhode Island,0
South Carolina,15
South Dakota,0
Tennessee,33
Texas,46
Utah,48
Vermont,0
Virginia,61
Washington,100
West Virginia,0
Wisconsin,46
Wyoming,0
