geoName,Google DeepMind
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,82
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,45
Georgia,29
Hawaii,0
Idaho,0
Illinois,35
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,94
Massachusetts,100
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,39
New Mexico,0
New York,71
North Carolina,29
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,36
Rhode Island,0
South Carolina,42
South Dakota,0
Tennessee,37
Texas,24
Utah,0
Vermont,0
Virginia,40
Washington,78
West Virginia,0
Wisconsin,0
Wyoming,0
