geoName,GPT-5
Alabama,24
Alaska,0
Arizona,20
Arkansas,0
California,26
Colorado,33
Connecticut,33
Delaware,0
District of Columbia,0
Florida,28
Georgia,20
Hawaii,100
Idaho,0
Illinois,27
Indiana,25
Iowa,0
Kansas,0
Kentucky,23
Louisiana,38
Maine,0
Maryland,37
Massachusetts,97
Michigan,26
Minnesota,26
Mississippi,0
Missouri,22
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,25
New Mexico,0
New York,30
North Carolina,20
North Dakota,0
Ohio,25
Oklahoma,24
Oregon,28
Pennsylvania,26
Rhode Island,0
South Carolina,20
South Dakota,0
Tennessee,23
Texas,24
Utah,29
Vermont,0
Virginia,28
Washington,37
West Virginia,0
Wisconsin,16
Wyoming,0
