geoName,ChatGPT
Alabama,77
Alaska,53
Arizona,87
Arkansas,73
California,99
Colorado,76
Connecticut,80
Delaware,70
District of Columbia,100
Florida,96
Georgia,95
Hawaii,71
Idaho,71
Illinois,74
Indiana,69
Iowa,63
Kansas,72
Kentucky,64
Louisiana,72
Maine,56
Maryland,84
Massachusetts,88
Michigan,70
Minnesota,69
Mississippi,74
Missouri,68
Montana,46
Nebraska,70
Nevada,82
New Hampshire,62
New Jersey,91
New Mexico,72
New York,87
North Carolina,78
North Dakota,56
Ohio,66
Oklahoma,69
Oregon,70
Pennsylvania,73
Rhode Island,73
South Carolina,66
South Dakota,54
Tennessee,68
Texas,92
Utah,85
Vermont,55
Virginia,94
Washington,79
West Virginia,55
Wisconsin,65
Wyoming,59
