geoName,GitHub Copilot
Alabama,31
Alaska,0
Arizona,43
Arkansas,40
California,60
Colorado,59
Connecticut,44
Delaware,0
District of Columbia,62
Florida,32
Georgia,49
Hawaii,86
Idaho,27
Illinois,53
Indiana,29
Iowa,43
Kansas,31
Kentucky,30
Louisiana,31
Maine,0
Maryland,47
Massachusetts,82
Michigan,31
Minnesota,47
Mississippi,0
Missouri,29
Montana,0
Nebraska,26
Nevada,18
New Hampshire,26
New Jersey,46
New Mexico,0
New York,44
North Carolina,46
North Dakota,0
Ohio,36
Oklahoma,26
Oregon,54
Pennsylvania,36
Rhode Island,48
South Carolina,27
South Dakota,0
Tennessee,33
Texas,45
Utah,53
Vermont,0
Virginia,55
Washington,100
West Virginia,0
Wisconsin,32
Wyoming,0
