geoName,Google DeepMind
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,52
Colorado,24
Connecticut,0
Delaware,0
District of Columbia,0
Florida,23
Georgia,15
Hawaii,100
Idaho,0
Illinois,19
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,32
Maine,0
Maryland,23
Massachusetts,88
Michigan,15
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,28
New Mexico,0
New York,37
North Carolina,14
North Dakota,0
Ohio,12
Oklahoma,0
Oregon,0
Pennsylvania,18
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,17
Utah,0
Vermont,0
Virginia,13
Washington,40
West Virginia,0
Wisconsin,0
Wyoming,0
