geoName,GPT-4
Alabama,58
Alaska,0
Arizona,68
Arkansas,61
California,67
Colorado,72
Connecticut,79
Delaware,0
District of Columbia,69
Florida,62
Georgia,60
Hawaii,85
Idaho,0
Illinois,57
Indiana,60
Iowa,42
Kansas,61
Kentucky,62
Louisiana,85
Maine,0
Maryland,59
Massachusetts,94
Michigan,68
Minnesota,65
Mississippi,65
Missouri,61
Montana,0
Nebraska,77
Nevada,58
New Hampshire,70
New Jersey,55
New Mexico,49
New York,72
North Carolina,56
North Dakota,0
Ohio,54
Oklahoma,64
Oregon,85
Pennsylvania,72
Rhode Island,100
South Carolina,61
South Dakota,0
Tennessee,56
Texas,64
Utah,56
Vermont,0
Virginia,72
Washington,77
West Virginia,83
Wisconsin,49
Wyoming,0
