geoName,ChatGPT
Alabama,30
Alaska,42
Arizona,47
Arkansas,35
California,100
Colorado,61
Connecticut,67
Delaware,49
District of Columbia,99
Florida,46
Georgia,55
Hawaii,52
Idaho,40
Illinois,63
Indiana,46
Iowa,46
Kansas,48
Kentucky,35
Louisiana,30
Maine,47
Maryland,75
Massachusetts,86
Michigan,52
Minnesota,54
Mississippi,23
Missouri,41
Montana,36
Nebraska,44
Nevada,51
New Hampshire,51
New Jersey,86
New Mexico,33
New York,80
North Carolina,50
North Dakota,40
Ohio,44
Oklahoma,38
Oregon,57
Pennsylvania,58
Rhode Island,62
South Carolina,31
South Dakota,31
Tennessee,35
Texas,56
Utah,66
Vermont,71
Virginia,73
Washington,90
West Virginia,31
Wisconsin,46
Wyoming,23
