geoName,Anthropic
Alabama,19
Alaska,0
Arizona,25
Arkansas,0
California,73
Colorado,50
Connecticut,29
Delaware,0
District of Columbia,100
Florida,30
Georgia,21
Hawaii,0
Idaho,44
Illinois,25
Indiana,29
Iowa,28
Kansas,33
Kentucky,0
Louisiana,27
Maine,0
Maryland,37
Massachusetts,55
Michigan,34
Minnesota,25
Mississippi,0
Missouri,25
Montana,0
Nebraska,0
Nevada,21
New Hampshire,53
New Jersey,33
New Mexico,0
New York,40
North Carolina,20
North Dakota,0
Ohio,22
Oklahoma,32
Oregon,36
Pennsylvania,33
Rhode Island,0
South Carolina,24
South Dakota,0
Tennessee,21
Texas,26
Utah,35
Vermont,0
Virginia,35
Washington,68
West Virginia,0
Wisconsin,42
Wyoming,0
