geoName,Google DeepMind
Alabama,0
Alaska,0
Arizona,29
Arkansas,0
California,76
Colorado,32
Connecticut,60
Delaware,0
District of Columbia,0
Florida,20
Georgia,16
Hawaii,0
Idaho,0
Illinois,33
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,46
Massachusetts,100
Michigan,19
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,47
New Mexico,0
New York,48
North Carolina,41
North Dakota,0
Ohio,18
Oklahoma,0
Oregon,0
Pennsylvania,31
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,20
Utah,0
Vermont,0
Virginia,22
Washington,59
West Virginia,0
Wisconsin,0
Wyoming,0
