geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,33
Arkansas,0
California,83
Colorado,54
Connecticut,45
Delaware,0
District of Columbia,0
Florida,28
Georgia,42
Hawaii,0
Idaho,0
Illinois,63
Indiana,23
Iowa,80
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,38
Massachusetts,89
Michigan,36
Minnesota,63
Mississippi,0
Missouri,43
Montana,0
Nebraska,0
Nevada,53
New Hampshire,0
New Jersey,60
New Mexico,0
New York,67
North Carolina,50
North Dakota,0
Ohio,27
Oklahoma,0
Oregon,78
Pennsylvania,51
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,41
Texas,56
Utah,60
Vermont,0
Virginia,74
Washington,100
West Virginia,0
Wisconsin,39
Wyoming,0
