geoName,Grok AI
Alabama,0
Alaska,0
Arizona,59
Arkansas,0
California,68
Colorado,58
Connecticut,0
Delaware,0
District of Columbia,0
Florida,47
Georgia,36
Hawaii,0
Idaho,0
Illinois,49
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,50
Massachusetts,0
Michigan,47
Minnesota,75
Mississippi,0
Missouri,82
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,0
New Mexico,0
New York,49
North Carolina,52
North Dakota,0
Ohio,55
Oklahoma,0
Oregon,93
Pennsylvania,39
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,49
Texas,50
Utah,100
Vermont,0
Virginia,60
Washington,72
West Virginia,0
Wisconsin,71
Wyoming,0
