geoName,Perplexity AI
Alabama,16
Alaska,0
Arizona,36
Arkansas,27
California,49
Colorado,24
Connecticut,45
Delaware,0
District of Columbia,100
Florida,25
Georgia,54
Hawaii,42
Idaho,31
Illinois,33
Indiana,29
Iowa,30
Kansas,26
Kentucky,12
Louisiana,25
Maine,0
Maryland,38
Massachusetts,61
Michigan,22
Minnesota,18
Mississippi,0
Missouri,26
Montana,0
Nebraska,0
Nevada,24
New Hampshire,0
New Jersey,42
New Mexico,0
New York,42
North Carolina,27
North Dakota,0
Ohio,27
Oklahoma,16
Oregon,26
Pennsylvania,31
Rhode Island,34
South Carolina,22
South Dakota,0
Tennessee,22
Texas,38
Utah,34
Vermont,63
Virginia,38
Washington,37
West Virginia,31
Wisconsin,27
Wyoming,0
