geoName,GPT-4
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,21
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,100
Florida,14
Georgia,0
Hawaii,0
Idaho,0
Illinois,10
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,16
Michigan,16
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,0
New Mexico,0
New York,21
North Carolina,0
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,11
Rhode Island,0
South Carolina,25
South Dakota,0
Tennessee,0
Texas,14
Utah,0
Vermont,0
Virginia,20
Washington,24
West Virginia,0
Wisconsin,0
Wyoming,0
