geoName,Anthropic
Alabama,0
Alaska,0
Arizona,21
Arkansas,0
California,74
Colorado,23
Connecticut,23
Delaware,0
District of Columbia,100
Florida,17
Georgia,17
Hawaii,0
Idaho,0
Illinois,24
Indiana,14
Iowa,0
Kansas,0
Kentucky,13
Louisiana,0
Maine,0
Maryland,31
Massachusetts,43
Michigan,14
Minnesota,15
Mississippi,0
Missouri,15
Montana,0
Nebraska,21
Nevada,23
New Hampshire,0
New Jersey,31
New Mexico,0
New York,46
North Carolina,19
North Dakota,0
Ohio,12
Oklahoma,12
Oregon,27
Pennsylvania,18
Rhode Island,0
South Carolina,9
South Dakota,0
Tennessee,13
Texas,19
Utah,27
Vermont,0
Virginia,32
Washington,70
West Virginia,0
Wisconsin,11
Wyoming,0
