geoName,ChatGPT
Alabama,52
Alaska,50
Arizona,83
Arkansas,61
California,100
Colorado,67
Connecticut,78
Delaware,72
District of Columbia,99
Florida,83
Georgia,93
Hawaii,66
Idaho,55
Illinois,70
Indiana,66
Iowa,54
Kansas,63
Kentucky,53
Louisiana,58
Maine,50
Maryland,84
Massachusetts,89
Michigan,66
Minnesota,66
Mississippi,54
Missouri,62
Montana,45
Nebraska,52
Nevada,69
New Hampshire,50
New Jersey,86
New Mexico,56
New York,80
North Carolina,75
North Dakota,63
Ohio,56
Oklahoma,61
Oregon,58
Pennsylvania,63
Rhode Island,65
South Carolina,51
South Dakota,58
Tennessee,55
Texas,81
Utah,79
Vermont,57
Virginia,88
Washington,67
West Virginia,43
Wisconsin,57
Wyoming,41
