geoName,Perplexity AI
Alabama,14
Alaska,0
Arizona,41
Arkansas,0
California,65
Colorado,40
Connecticut,57
Delaware,0
District of Columbia,100
Florida,36
Georgia,45
Hawaii,42
Idaho,29
Illinois,34
Indiana,24
Iowa,17
Kansas,30
Kentucky,27
Louisiana,18
Maine,33
Maryland,44
Massachusetts,65
Michigan,31
Minnesota,26
Mississippi,0
Missouri,35
Montana,0
Nebraska,28
Nevada,32
New Hampshire,60
New Jersey,56
New Mexico,26
New York,61
North Carolina,40
North Dakota,0
Ohio,26
Oklahoma,15
Oregon,50
Pennsylvania,32
Rhode Island,0
South Carolina,25
South Dakota,0
Tennessee,29
Texas,43
Utah,59
Vermont,0
Virginia,43
Washington,57
West Virginia,0
Wisconsin,23
Wyoming,0
