geoName,ChatGPT
Alabama,56
Alaska,51
Arizona,72
Arkansas,48
California,97
Colorado,74
Connecticut,81
Delaware,65
District of Columbia,100
Florida,72
Georgia,82
Hawaii,61
Idaho,56
Illinois,72
Indiana,60
Iowa,54
Kansas,55
Kentucky,56
Louisiana,42
Maine,49
Maryland,80
Massachusetts,88
Michigan,64
Minnesota,64
Mississippi,45
Missouri,55
Montana,46
Nebraska,50
Nevada,66
New Hampshire,54
New Jersey,91
New Mexico,52
New York,76
North Carolina,73
North Dakota,54
Ohio,62
Oklahoma,56
Oregon,64
Pennsylvania,67
Rhode Island,74
South Carolina,51
South Dakota,51
Tennessee,55
Texas,79
Utah,81
Vermont,53
Virginia,79
Washington,76
West Virginia,46
Wisconsin,55
Wyoming,52
