geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,42
Arkansas,0
California,62
Colorado,51
Connecticut,27
Delaware,0
District of Columbia,100
Florida,33
Georgia,42
Hawaii,0
Idaho,0
Illinois,41
Indiana,37
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,47
Massachusetts,70
Michigan,33
Minnesota,51
Mississippi,0
Missouri,22
Montana,0
Nebraska,0
Nevada,33
New Hampshire,0
New Jersey,63
New Mexico,0
New York,44
North Carolina,41
North Dakota,0
Ohio,28
Oklahoma,34
Oregon,60
Pennsylvania,44
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,26
Texas,40
Utah,70
Vermont,0
Virginia,68
Washington,89
West Virginia,0
Wisconsin,40
Wyoming,0
