geoName,Anthropic
Alabama,0
Alaska,0
Arizona,11
Arkansas,0
California,56
Colorado,23
Connecticut,26
Delaware,0
District of Columbia,100
Florida,12
Georgia,10
Hawaii,0
Idaho,31
Illinois,17
Indiana,9
Iowa,0
Kansas,0
Kentucky,14
Louisiana,0
Maine,0
Maryland,13
Massachusetts,41
Michigan,7
Minnesota,9
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,17
New Hampshire,0
New Jersey,25
New Mexico,0
New York,34
North Carolina,12
North Dakota,0
Ohio,9
Oklahoma,0
Oregon,17
Pennsylvania,17
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,10
Texas,12
Utah,0
Vermont,0
Virginia,25
Washington,37
West Virginia,0
Wisconsin,0
Wyoming,0
