geoName,Meta AI
Alabama,0
Alaska,0
Arizona,16
Arkansas,50
California,61
Colorado,32
Connecticut,38
Delaware,0
District of Columbia,100
Florida,35
Georgia,40
Hawaii,0
Idaho,0
Illinois,35
Indiana,38
Iowa,0
Kansas,0
Kentucky,0
Louisiana,24
Maine,0
Maryland,34
Massachusetts,48
Michigan,27
Minnesota,19
Mississippi,0
Missouri,23
Montana,0
Nebraska,0
Nevada,49
New Hampshire,0
New Jersey,60
New Mexico,0
New York,49
North Carolina,31
North Dakota,0
Ohio,25
Oklahoma,31
Oregon,46
Pennsylvania,29
Rhode Island,0
South Carolina,23
South Dakota,0
Tennessee,25
Texas,34
Utah,43
Vermont,0
Virginia,41
Washington,57
West Virginia,0
Wisconsin,40
Wyoming,0
