geoName,GPT-4
Alabama,0
Alaska,0
Arizona,63
Arkansas,0
California,97
Colorado,53
Connecticut,100
Delaware,0
District of Columbia,0
Florida,33
Georgia,56
Hawaii,0
Idaho,0
Illinois,45
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,62
Massachusetts,75
Michigan,43
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,95
New Mexico,0
New York,53
North Carolina,53
North Dakota,0
Ohio,34
Oklahoma,0
Oregon,0
Pennsylvania,41
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,42
Utah,0
Vermont,0
Virginia,71
Washington,75
West Virginia,0
Wisconsin,0
Wyoming,0
