geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,25
Arkansas,0
California,67
Colorado,53
Connecticut,29
Delaware,0
District of Columbia,0
Florida,20
Georgia,32
Hawaii,0
Idaho,0
Illinois,46
Indiana,22
Iowa,30
Kansas,31
Kentucky,0
Louisiana,0
Maine,0
Maryland,30
Massachusetts,66
Michigan,25
Minnesota,50
Mississippi,0
Missouri,30
Montana,0
Nebraska,0
Nevada,35
New Hampshire,0
New Jersey,44
New Mexico,0
New York,40
North Carolina,30
North Dakota,0
Ohio,23
Oklahoma,0
Oregon,61
Pennsylvania,30
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,16
Texas,36
Utah,53
Vermont,0
Virginia,48
Washington,100
West Virginia,0
Wisconsin,22
Wyoming,0
