geoName,ChatGPT
Alabama,33
Alaska,47
Arizona,56
Arkansas,36
California,100
Colorado,61
Connecticut,70
Delaware,50
District of Columbia,94
Florida,57
Georgia,59
Hawaii,61
Idaho,47
Illinois,62
Indiana,39
Iowa,36
Kansas,41
Kentucky,33
Louisiana,30
Maine,36
Maryland,71
Massachusetts,78
Michigan,49
Minnesota,46
Mississippi,26
Missouri,42
Montana,37
Nebraska,39
Nevada,54
New Hampshire,52
New Jersey,84
New Mexico,39
New York,74
North Carolina,51
North Dakota,33
Ohio,44
Oklahoma,36
Oregon,70
Pennsylvania,50
Rhode Island,52
South Carolina,36
South Dakota,32
Tennessee,40
Texas,65
Utah,72
Vermont,43
Virginia,81
Washington,90
West Virginia,26
Wisconsin,38
Wyoming,31
