geoName,Microsoft Copilot
Alabama,48
Alaska,0
Arizona,0
Arkansas,0
California,57
Colorado,60
Connecticut,0
Delaware,0
District of Columbia,0
Florida,41
Georgia,28
Hawaii,0
Idaho,0
Illinois,46
Indiana,51
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,42
Massachusetts,49
Michigan,28
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,45
New Mexico,0
New York,43
North Carolina,44
North Dakota,0
Ohio,32
Oklahoma,0
Oregon,58
Pennsylvania,37
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,42
Texas,45
Utah,0
Vermont,0
Virginia,48
Washington,100
West Virginia,0
Wisconsin,45
Wyoming,0
