geoName,Perplexity AI
Alabama,66
Alaska,0
Arizona,46
Arkansas,0
California,100
Colorado,66
Connecticut,0
Delaware,0
District of Columbia,0
Florida,52
Georgia,59
Hawaii,0
Idaho,0
Illinois,38
Indiana,0
Iowa,0
Kansas,99
Kentucky,0
Louisiana,0
Maine,0
Maryland,71
Massachusetts,79
Michigan,27
Minnesota,45
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,60
New Mexico,0
New York,66
North Carolina,49
North Dakota,0
Ohio,28
Oklahoma,0
Oregon,79
Pennsylvania,56
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,48
Texas,53
Utah,0
Vermont,0
Virginia,72
Washington,65
West Virginia,0
Wisconsin,47
Wyoming,0
