geoName,Anthropic
Alabama,0
Alaska,0
Arizona,15
Arkansas,0
California,64
Colorado,14
Connecticut,0
Delaware,0
District of Columbia,100
Florida,14
Georgia,14
Hawaii,0
Idaho,0
Illinois,17
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,16
Massachusetts,41
Michigan,11
Minnesota,0
Mississippi,0
Missouri,21
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,26
New Mexico,0
New York,34
North Carolina,18
North Dakota,0
Ohio,9
Oklahoma,0
Oregon,0
Pennsylvania,17
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,11
Utah,28
Vermont,0
Virginia,19
Washington,41
West Virginia,0
Wisconsin,0
Wyoming,0
