geoName,Meta AI
Alabama,0
Alaska,0
Arizona,42
Arkansas,0
California,96
Colorado,54
Connecticut,0
Delaware,0
District of Columbia,0
Florida,34
Georgia,40
Hawaii,0
Idaho,0
Illinois,30
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,55
Massachusetts,40
Michigan,30
Minnesota,0
Mississippi,0
Missouri,43
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,59
New Mexico,0
New York,68
North Carolina,30
North Dakota,0
Ohio,21
Oklahoma,0
Oregon,63
Pennsylvania,49
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,43
Utah,0
Vermont,0
Virginia,79
Washington,100
West Virginia,0
Wisconsin,0
Wyoming,0
