geoName,Perplexity AI
Alabama,29
Alaska,0
Arizona,52
Arkansas,41
California,66
Colorado,39
Connecticut,55
Delaware,0
District of Columbia,93
Florida,45
Georgia,57
Hawaii,58
Idaho,31
Illinois,39
Indiana,28
Iowa,15
Kansas,47
Kentucky,20
Louisiana,32
Maine,30
Maryland,47
Massachusetts,70
Michigan,38
Minnesota,39
Mississippi,0
Missouri,36
Montana,0
Nebraska,28
Nevada,33
New Hampshire,51
New Jersey,60
New Mexico,37
New York,59
North Carolina,39
North Dakota,0
Ohio,33
Oklahoma,24
Oregon,31
Pennsylvania,45
Rhode Island,0
South Carolina,33
South Dakota,0
Tennessee,32
Texas,46
Utah,44
Vermont,0
Virginia,45
Washington,65
West Virginia,0
Wisconsin,31
Wyoming,100
