geoName,Anthropic
Alabama,8
Alaska,0
Arizona,14
Arkansas,10
California,56
Colorado,26
Connecticut,25
Delaware,0
District of Columbia,100
Florida,15
Georgia,19
Hawaii,19
Idaho,16
Illinois,21
Indiana,12
Iowa,10
Kansas,9
Kentucky,11
Louisiana,8
Maine,20
Maryland,23
Massachusetts,39
Michigan,12
Minnesota,16
Mississippi,0
Missouri,12
Montana,0
Nebraska,0
Nevada,19
New Hampshire,32
New Jersey,31
New Mexico,0
New York,48
North Carolina,13
North Dakota,0
Ohio,10
Oklahoma,9
Oregon,24
Pennsylvania,17
Rhode Island,0
South Carolina,8
South Dakota,0
Tennessee,12
Texas,17
Utah,32
Vermont,0
Virginia,24
Washington,65
West Virginia,0
Wisconsin,12
Wyoming,0
