geoName,Grok AI
Alabama,35
Alaska,0
Arizona,53
Arkansas,0
California,70
Colorado,62
Connecticut,61
Delaware,0
District of Columbia,0
Florida,67
Georgia,57
Hawaii,100
Idaho,0
Illinois,50
Indiana,38
Iowa,61
Kansas,0
Kentucky,62
Louisiana,49
Maine,0
Maryland,45
Massachusetts,61
Michigan,47
Minnesota,63
Mississippi,0
Missouri,50
Montana,0
Nebraska,0
Nevada,65
New Hampshire,0
New Jersey,65
New Mexico,0
New York,54
North Carolina,54
North Dakota,0
Ohio,45
Oklahoma,53
Oregon,53
Pennsylvania,52
Rhode Island,0
South Carolina,31
South Dakota,0
Tennessee,55
Texas,58
Utah,55
Vermont,0
Virginia,64
Washington,72
West Virginia,0
Wisconsin,30
Wyoming,0
