geoName,ChatGPT
Alabama,56
Alaska,48
Arizona,77
Arkansas,65
California,86
Colorado,68
Connecticut,78
Delaware,62
District of Columbia,93
Florida,81
Georgia,95
Hawaii,58
Idaho,58
Illinois,77
Indiana,63
Iowa,54
Kansas,57
Kentucky,52
Louisiana,54
Maine,46
Maryland,81
Massachusetts,80
Michigan,67
Minnesota,72
Mississippi,57
Missouri,55
Montana,46
Nebraska,51
Nevada,71
New Hampshire,51
New Jersey,100
New Mexico,60
New York,75
North Carolina,73
North Dakota,56
Ohio,56
Oklahoma,62
Oregon,66
Pennsylvania,65
Rhode Island,59
South Carolina,60
South Dakota,54
Tennessee,53
Texas,83
Utah,76
Vermont,48
Virginia,75
Washington,82
West Virginia,36
Wisconsin,53
Wyoming,48
