geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,25
Arkansas,0
California,53
Colorado,43
Connecticut,25
Delaware,0
District of Columbia,100
Florida,20
Georgia,28
Hawaii,0
Idaho,0
Illinois,32
Indiana,0
Iowa,49
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,22
Massachusetts,46
Michigan,26
Minnesota,57
Mississippi,0
Missouri,19
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,38
New Mexico,0
New York,38
North Carolina,30
North Dakota,0
Ohio,22
Oklahoma,0
Oregon,35
Pennsylvania,23
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,24
Texas,31
Utah,37
Vermont,0
Virginia,57
Washington,71
West Virginia,0
Wisconsin,28
Wyoming,0
