geoName,Perplexity AI
Alabama,31
Alaska,0
Arizona,30
Arkansas,36
California,76
Colorado,27
Connecticut,60
Delaware,0
District of Columbia,100
Florida,42
Georgia,44
Hawaii,57
Idaho,49
Illinois,44
Indiana,26
Iowa,0
Kansas,0
Kentucky,24
Louisiana,0
Maine,0
Maryland,47
Massachusetts,60
Michigan,27
Minnesota,28
Mississippi,0
Missouri,28
Montana,0
Nebraska,0
Nevada,49
New Hampshire,0
New Jersey,54
New Mexico,0
New York,65
North Carolina,39
North Dakota,0
Ohio,18
Oklahoma,25
Oregon,41
Pennsylvania,37
Rhode Island,57
South Carolina,29
South Dakota,0
Tennessee,30
Texas,44
Utah,30
Vermont,0
Virginia,58
Washington,60
West Virginia,0
Wisconsin,23
Wyoming,0
