geoName,ChatGPT
Alabama,40
Alaska,42
Arizona,64
Arkansas,41
California,91
Colorado,59
Connecticut,56
Delaware,52
District of Columbia,100
Florida,74
Georgia,62
Hawaii,59
Idaho,45
Illinois,57
Indiana,44
Iowa,37
Kansas,45
Kentucky,34
Louisiana,34
Maine,37
Maryland,76
Massachusetts,70
Michigan,51
Minnesota,50
Mississippi,36
Missouri,43
Montana,30
Nebraska,43
Nevada,55
New Hampshire,45
New Jersey,75
New Mexico,48
New York,66
North Carolina,53
North Dakota,33
Ohio,47
Oklahoma,39
Oregon,55
Pennsylvania,48
Rhode Island,55
South Carolina,41
South Dakota,36
Tennessee,43
Texas,70
Utah,71
Vermont,39
Virginia,73
Washington,72
West Virginia,31
Wisconsin,37
Wyoming,40
