geoName,Anthropic
Alabama,9
Alaska,0
Arizona,19
Arkansas,0
California,65
Colorado,26
Connecticut,22
Delaware,0
District of Columbia,100
Florida,11
Georgia,19
Hawaii,0
Idaho,0
Illinois,25
Indiana,11
Iowa,0
Kansas,0
Kentucky,0
Louisiana,10
Maine,0
Maryland,21
Massachusetts,39
Michigan,12
Minnesota,11
Mississippi,0
Missouri,9
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,30
New Mexico,0
New York,44
North Carolina,17
North Dakota,0
Ohio,11
Oklahoma,0
Oregon,17
Pennsylvania,15
Rhode Island,0
South Carolina,10
South Dakota,0
Tennessee,13
Texas,17
Utah,28
Vermont,0
Virginia,36
Washington,67
West Virginia,0
Wisconsin,12
Wyoming,0
