geoName,Microsoft Copilot
Alabama,30
Alaska,0
Arizona,41
Arkansas,49
California,45
Colorado,49
Connecticut,27
Delaware,0
District of Columbia,100
Florida,39
Georgia,49
Hawaii,0
Idaho,38
Illinois,43
Indiana,30
Iowa,49
Kansas,44
Kentucky,28
Louisiana,15
Maine,42
Maryland,52
Massachusetts,53
Michigan,29
Minnesota,45
Mississippi,0
Missouri,34
Montana,0
Nebraska,33
Nevada,22
New Hampshire,0
New Jersey,44
New Mexico,35
New York,51
North Carolina,43
North Dakota,0
Ohio,33
Oklahoma,25
Oregon,22
Pennsylvania,40
Rhode Island,0
South Carolina,23
South Dakota,0
Tennessee,37
Texas,45
Utah,39
Vermont,0
Virginia,59
Washington,72
West Virginia,0
Wisconsin,35
Wyoming,0
