geoName,Meta AI
Alabama,32
Alaska,0
Arizona,58
Arkansas,0
California,100
Colorado,60
Connecticut,46
Delaware,0
District of Columbia,0
Florida,46
Georgia,51
Hawaii,0
Idaho,0
Illinois,51
Indiana,26
Iowa,0
Kansas,0
Kentucky,33
Louisiana,59
Maine,0
Maryland,27
Massachusetts,98
Michigan,67
Minnesota,56
Mississippi,0
Missouri,42
Montana,0
Nebraska,0
Nevada,44
New Hampshire,0
New Jersey,69
New Mexico,0
New York,78
North Carolina,52
North Dakota,0
Ohio,42
Oklahoma,65
Oregon,68
Pennsylvania,55
Rhode Island,0
South Carolina,30
South Dakota,0
Tennessee,37
Texas,50
Utah,73
Vermont,0
Virginia,67
Washington,98
West Virginia,0
Wisconsin,50
Wyoming,0
