geoName,Perplexity AI
Alabama,0
Alaska,0
Arizona,53
Arkansas,0
California,89
Colorado,61
Connecticut,43
Delaware,0
District of Columbia,0
Florida,41
Georgia,54
Hawaii,0
Idaho,0
Illinois,65
Indiana,39
Iowa,0
Kansas,74
Kentucky,0
Louisiana,0
Maine,0
Maryland,66
Massachusetts,91
Michigan,43
Minnesota,33
Mississippi,0
Missouri,51
Montana,0
Nebraska,0
Nevada,48
New Hampshire,0
New Jersey,81
New Mexico,100
New York,71
North Carolina,44
North Dakota,0
Ohio,47
Oklahoma,0
Oregon,48
Pennsylvania,46
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,40
Texas,65
Utah,44
Vermont,0
Virginia,71
Washington,73
West Virginia,0
Wisconsin,30
Wyoming,0
