geoName,Anthropic
Alabama,0
Alaska,0
Arizona,21
Arkansas,0
California,95
Colorado,34
Connecticut,47
Delaware,0
District of Columbia,100
Florida,22
Georgia,24
Hawaii,0
Idaho,0
Illinois,31
Indiana,22
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,24
Massachusetts,53
Michigan,17
Minnesota,20
Mississippi,0
Missouri,23
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,38
New Mexico,0
New York,48
North Carolina,24
North Dakota,0
Ohio,16
Oklahoma,0
Oregon,36
Pennsylvania,21
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,15
Texas,28
Utah,42
Vermont,0
Virginia,34
Washington,84
West Virginia,0
Wisconsin,22
Wyoming,0
