geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,37
Arkansas,0
California,88
Colorado,76
Connecticut,57
Delaware,0
District of Columbia,0
Florida,37
Georgia,36
Hawaii,0
Idaho,0
Illinois,55
Indiana,45
Iowa,0
Kansas,45
Kentucky,33
Louisiana,0
Maine,0
Maryland,51
Massachusetts,68
Michigan,44
Minnesota,68
Mississippi,0
Missouri,46
Montana,0
Nebraska,0
Nevada,41
New Hampshire,0
New Jersey,70
New Mexico,0
New York,57
North Carolina,56
North Dakota,0
Ohio,30
Oklahoma,0
Oregon,78
Pennsylvania,42
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,28
Texas,51
Utah,85
Vermont,0
Virginia,78
Washington,100
West Virginia,0
Wisconsin,50
Wyoming,0
