geoName,ChatGPT
Alabama,36
Alaska,49
Arizona,64
Arkansas,44
California,97
Colorado,65
Connecticut,70
Delaware,54
District of Columbia,100
Florida,63
Georgia,63
Hawaii,59
Idaho,53
Illinois,60
Indiana,53
Iowa,41
Kansas,47
Kentucky,36
Louisiana,35
Maine,45
Maryland,78
Massachusetts,84
Michigan,57
Minnesota,54
Mississippi,33
Missouri,54
Montana,42
Nebraska,46
Nevada,65
New Hampshire,54
New Jersey,83
New Mexico,47
New York,71
North Carolina,55
North Dakota,49
Ohio,47
Oklahoma,43
Oregon,61
Pennsylvania,55
Rhode Island,70
South Carolina,39
South Dakota,45
Tennessee,44
Texas,70
Utah,80
Vermont,54
Virginia,73
Washington,75
West Virginia,31
Wisconsin,50
Wyoming,41
