geoName,ChatGPT
Alabama,66
Alaska,55
Arizona,81
Arkansas,68
California,100
Colorado,77
Connecticut,74
Delaware,72
District of Columbia,94
Florida,86
Georgia,95
Hawaii,59
Idaho,68
Illinois,78
Indiana,68
Iowa,60
Kansas,64
Kentucky,59
Louisiana,63
Maine,48
Maryland,86
Massachusetts,87
Michigan,71
Minnesota,79
Mississippi,71
Missouri,60
Montana,49
Nebraska,65
Nevada,76
New Hampshire,52
New Jersey,100
New Mexico,68
New York,80
North Carolina,84
North Dakota,62
Ohio,61
Oklahoma,64
Oregon,60
Pennsylvania,63
Rhode Island,63
South Carolina,63
South Dakota,58
Tennessee,61
Texas,95
Utah,77
Vermont,51
Virginia,85
Washington,78
West Virginia,43
Wisconsin,59
Wyoming,54
